Famille;Rayon;Référence;Titre;Prix idealo (€);Pack;Type;Voltage;Coffret;Ah;Nb outils;Nb batteries;Nb pièces;Édition limitée;Origine;Signal de classement;Clé de doublon;Niveau de clé;Variante;Doublons fusionnés;Réf. fiche du site;Prix actuel du site (€)
À trancher;;DE7450;DEWALT DE7450;82,05;seul;;;;;;;;;inconnu;aucun;REF:DE7450|NU;référence;NU;1;;
À trancher;;D240001;DEWALT D240001;91,42;seul;;;;;;;;;inconnu;aucun;REF:D240001|NU;référence;NU;1;;
À trancher;;DE3754-XJ;DeWalt DE3754-XJ Retour Automatique 0 V Jaune/Noir;97,36;seul;;;;;;;;;sans-ref;aucun;REF:DE3754|NU;référence;NU;1;;
À trancher;;AT-DXAM2250;DEWALT AT-DXAM2250;109,99;seul;;;;;;;;;inconnu;aucun;REF:AT-DXAM2250|NU;référence;NU;1;;
À trancher;;EU2-960;DEWALT EU2-960;111,23;seul;;;;;;;;;inconnu;aucun;REF:EU2-960|NU;référence;NU;1;;
À trancher;;EU2-961;DEWALT EU2-961;113,17;seul;;;;;;;;;inconnu;aucun;REF:EU2-961|NU;référence;NU;1;;
À trancher;;DXWT-200;DEWALT DXWT-200;117,04;seul;;;;;;;;;inconnu;aucun;REF:DXWT-200|NU;référence;NU;1;;
À trancher;;DXSTAH025;DEWALT DXSTAH025;117,04;seul;;;;;;;;;inconnu;aucun;REF:DXSTAH025|NU;référence;NU;1;;
À trancher;;;DeWalt Jobsite Pro X-2 ANC;118,99;seul;;;;;;;;;sans-ref;aucun;TIT:jobsite pro x 2 anc;titre;NU;1;;
À trancher;;DWH302DH;DEWALT DWH302DH Heavy Duty Table 1 Compliant Replacement Dust Box;125,25;seul;;;;;;;;;sans-ref;aucun;REF:DWH302|ACCESSOIRE;référence;ACCESSOIRE;4;;
À trancher;;DXWT-201;DEWALT DXWT-201;127,99;seul;;;;;;;;;inconnu;aucun;REF:DXWT-201|NU;référence;NU;1;;
À trancher;;DE0738;DEWALT DE0738;130,50;seul;;;;;;;;;inconnu;aucun;REF:DE0738|NU;référence;NU;1;;
À trancher;;DXSTFH030;DEWALT DXSTFH030;169,99;seul;;;;;;;;;inconnu;aucun;REF:DXSTFH030|NU;référence;NU;1;;
À trancher;;DWC410;DEWALT DWC410;173,99;seul;;;;;;;;;inconnu;aucun;REF:DWC410|NU;référence;NU;1;;
À trancher;;DE7400;DEWALT DE7400;180,07;seul;;;;;;;;;inconnu;aucun;REF:DE7400|NU;référence;NU;1;;
À trancher;;DE7260-XJ;DEWALT DE7260-XJ;189,60;seul;;;;;;;;;inconnu;aucun;REF:DE7260|NU;référence;NU;1;;
À trancher;;DXWT-202;DEWALT DXWT-202;189,99;seul;;;;;;;;;inconnu;aucun;REF:DXWT-202|NU;référence;NU;1;;
À trancher;;;DeWalt DWK;337,00;pack;;18;;;;;;;sans-ref;aucun;TIT:dwk;titre;NU;1;;
À trancher;;DW096PK;DEWALT DW096PK;363,23;seul;;;;;;;;;inconnu;aucun;REF:DW096|NU;référence;NU;1;;
À trancher;;DEWDT7612M;DEWALT DEWDT7612M A- K Écrans;417,00;seul;;;;;;;;;sans-ref;aucun;REF:DEWDT7612|NU;référence;NU;1;;
À trancher;;;DEWALT format quotidien pour adultes pour un usage quotidien avec format polyvalent;450,29;seul;;;;;;;;;sans-ref;aucun;TIT:format quotidien pour adultes pour un usage quotidien avec format polyvalent;titre;NU;3;;
À trancher;;DXCMB4T100HE;DEWALT DEWALT DXCMB4T100HE Quantité:1;793,98;seul;;;;;;;;;sans-ref;aucun;REF:DXCMB4|NU;référence;NU;1;;
